form,tags
1000e,
100e,
10e,
10ᵉ,['canonical']
11e,
11ᵉ,['canonical']
12e,
12ᵉ,['canonical']
13e,
13ᵉ,['canonical']
14e,
14ᵉ,['canonical']
15e,
15ᵉ,['canonical']
16e,
16ᵉ,['canonical']
17e,
17ᵉ,['canonical']
18e,
18ᵉ,['canonical']
19e,
19ᵉ,['canonical']
1er,
1ers,
1re,
1res,
1ère,
1ʳᵉ,"['feminine', 'singular']"
1ʳᵉ,['canonical']
1ʳᵉˢ,['canonical']
1ʳᵉˢ,"['feminine', 'plural']"
1ᵉʳ,['canonical']
1ᵉʳˢ,"['masculine', 'plural']"
1ᵉʳˢ,['canonical']
20e,
20ᵉ,['canonical']
21e,
21ᵉ,['canonical']
2e,
2ᵉ,['canonical']
3e,
3ᵉ,['canonical']
4e,
4ᵉ,['canonical']
5e,
5ᵉ,['canonical']
6e,
6ᵉ,['canonical']
7e,
7ᵉ,['canonical']
8e,
8ᵉ,['canonical']
9e,
9ᵉ,['canonical']
ASM,
BCBG,
CBRN,
Cab,
Cabs,['plural']
E,
HS,
Hadopi,
Hon.,
IPC,
L'Hon.,['canonical']
LGBT,
LSRes,
LSRs,
Mélanésienne,
Mélanésiennes,
Mélanésiens,
NBC,
ND,
NDs,['plural']
NP-complet,
NP-complets,
NP-complets,"['masculine', 'plural']"
NP-complète,"['feminine', 'singular']"
NP-complète,
NP-complètes,
NP-complètes,"['feminine', 'plural']"
NP-difficile,
NP-difficiles,['plural']
NP-difficiles,
NRBC,
ORL,
Peule,
Peules,
Ral,
Rᵃˡ,['canonical']
SDP,
ST,
Sôter,
TLJ,
Tahitienne,
Tahitiennes,
Tahitiens,
Tasher,
Tashers,"['masculine', 'plural']"
Tashère,"['feminine', 'singular']"
Tashères,"['feminine', 'plural']"
Tosher,
Toshers,"['masculine', 'plural']"
Toshère,"['feminine', 'singular']"
Toshères,"['feminine', 'plural']"
Trumpiste,
Trumpistes,['plural']
Trumpistes,
X,
a capella,
a cappella,
a divinis,
a giorno,
a latere,
a posteriori,
a priori,
aalandais,"['masculine', 'plural']"
aalandaise,
aalandaise,"['feminine', 'singular']"
aalandaises,
aalandaises,"['feminine', 'plural']"
aalénien,
aalénienne,
aalénienne,"['feminine', 'singular']"
aaléniennes,
aaléniennes,"['feminine', 'plural']"
aaléniens,
aaléniens,"['masculine', 'plural']"
aaronais,"['masculine', 'plural']"
aaronaise,
aaronaise,"['feminine', 'singular']"
aaronaises,
aaronaises,"['feminine', 'plural']"
aaronique,
aaroniques,['plural']
aaroniques,
aastais,"['masculine', 'plural']"
aastaise,
aastaise,"['feminine', 'singular']"
aastaises,"['feminine', 'plural']"
aastaises,
ababouiné,
ababouinée,
ababouinée,"['feminine', 'singular']"
ababouinées,
ababouinées,"['feminine', 'plural']"
ababouinés,"['masculine', 'plural']"
ababouinés,
abactérien,
abactérienne,"['feminine', 'singular']"
abactérienne,
abactériennes,
abactériennes,"['feminine', 'plural']"
abactériens,"['masculine', 'plural']"
abactériens,
abactériémique,
abactériémiques,['plural']
abactériémiques,
abainvillois,"['masculine', 'plural']"
abainvilloise,"['feminine', 'singular']"
abainvilloise,
abainvilloises,
abainvilloises,"['feminine', 'plural']"
abaissable,
abaissables,
abaissables,['plural']
abaissant,
abaissante,"['feminine', 'singular']"
abaissante,
abaissantes,
abaissantes,"['feminine', 'plural']"
abaissants,"['masculine', 'plural']"
abaissants,
abaisseur,
abaisseurs,"['masculine', 'plural']"
abaisseuse,
abaisseuse,"['feminine', 'singular']"
abaisseuses,
abaisseuses,"['feminine', 'plural']"
abaissé,
abaissée,
abaissée,"['feminine', 'singular']"
abaissées,"['feminine', 'plural']"
abaissés,"['masculine', 'plural']"
abancourtois,"['masculine', 'plural']"
abancourtoise,
abancourtoise,"['feminine', 'singular']"
abancourtoises,"['feminine', 'plural']"
abancourtoises,
abandonnable,
abandonnables,['plural']
abandonnables,
abandonnataire,
abandonnataires,
abandonnataires,['plural']
abandonnateur,
abandonnateurs,"['masculine', 'plural']"
abandonnateurs,
abandonnatrice,"['feminine', 'singular']"
abandonnatrice,
abandonnatrices,
abandonnatrices,"['feminine', 'plural']"
abandonneur,
abandonneurs,"['masculine', 'plural']"
abandonneurs,
abandonneuse,"['feminine', 'singular']"
abandonneuse,
abandonneuses,
abandonneuses,"['feminine', 'plural']"
abandonnique,
abandonniques,['plural']
abandonniques,
abandonné,
abandonnée,"['feminine', 'singular']"
abandonnée,
abandonnées,"['feminine', 'plural']"
abandonnés,"['masculine', 'plural']"
abarticulaire,
abarticulaires,
abarticulaires,['plural']
abasourdi,
abasourdie,
abasourdie,"['feminine', 'singular']"
abasourdies,"['feminine', 'plural']"
abasourdies,
abasourdis,
abasourdis,"['masculine', 'plural']"
abasourdissant,
abasourdissante,"['feminine', 'singular']"
abasourdissante,
abasourdissantes,"['feminine', 'plural']"
abasourdissantes,
abasourdissants,
abasourdissants,"['masculine', 'plural']"
abasside,
abassides,['plural']
abassides,
abattable,
abattables,['plural']
abattables,
abattant,
abattante,
abattante,"['feminine', 'singular']"
abattantes,"['feminine', 'plural']"
abattantes,
abattants,"['masculine', 'plural']"
abattu,
abattue,"['feminine', 'singular']"
abattues,"['feminine', 'plural']"
abattus,"['masculine', 'plural']"
abaxial,
abaxials,['plural']
abbarois,"['masculine', 'plural']"
abbaroise,
abbaroise,"['feminine', 'singular']"
abbaroises,
abbaroises,"['feminine', 'plural']"
abbasside,
abbassides,
abbassides,['plural']
abbatial,
abbatiale,
abbatiale,"['feminine', 'singular']"
abbatiales,"['feminine', 'plural']"
abbatiales,
abbatiaux,
abbatiaux,"['masculine', 'plural']"
abbecourtois,"['masculine', 'plural']"
abbecourtoise,
abbecourtoise,"['feminine', 'singular']"
abbecourtoises,"['feminine', 'plural']"
abbecourtoises,
abbenanais,"['masculine', 'plural']"
abbenanaise,
abbenanaise,"['feminine', 'singular']"
abbenanaises,"['feminine', 'plural']"
abbenanaises,
abbevillien,
abbevillienne,
abbevillienne,"['feminine', 'singular']"
abbevilliennes,"['feminine', 'plural']"
abbevilliennes,
abbevilliens,"['masculine', 'plural']"
abbevilliens,
abbevillois,"['masculine', 'plural']"
abbevilloise,"['feminine', 'singular']"
abbevilloise,
abbevilloises,
abbevilloises,"['feminine', 'plural']"
abbécourtois,"['masculine', 'plural']"
abbécourtoise,"['feminine', 'singular']"
abbécourtoise,
abbécourtoises,"['feminine', 'plural']"
abbécourtoises,
abbévillois,"['masculine', 'plural']"
abbévilloise,"['feminine', 'singular']"
abbévilloises,
abbévilloises,['plural']
abbévilloises,"['feminine', 'plural']"
abdicataire,
abdicataires,
abdicataires,['plural']
abdicatif,
abdicatifs,
abdicatifs,"['masculine', 'plural']"
abdicative,
abdicative,"['feminine', 'singular']"
abdicatives,"['feminine', 'plural']"
abdicatives,
abdominal,
abdominale,
abdominale,"['feminine', 'singular']"
abdominales,
abdominales,"['feminine', 'plural']"
abdominaux,
abdominaux,"['masculine', 'plural']"
abducteur,
abducteurs,"['masculine', 'plural']"
abductif,
abductifs,
abductifs,"['masculine', 'plural']"
abductive,"['feminine', 'singular']"
abductive,
abductives,
abductives,"['feminine', 'plural']"
abductrice,"['feminine', 'singular']"
abductrice,
abductrices,"['feminine', 'plural']"
abductrices,
abeiller,
abeillers,"['masculine', 'plural']"
abeillère,"['feminine', 'singular']"
abeillère,
abeillères,"['feminine', 'plural']"
abeillères,
abeillé,
abeillée,
abeillée,"['feminine', 'singular']"
abeillées,"['feminine', 'plural']"
abeillées,
abeillés,
abeillés,"['masculine', 'plural']"
aberdonien,
aberdonienne,
aberdonienne,"['feminine', 'singular']"
aberdoniennes,"['feminine', 'plural']"
aberdoniennes,
aberdoniens,"['masculine', 'plural']"
aberdoniens,
aberrant,
aberrante,"['feminine', 'singular']"
aberrante,
aberrantes,
aberrantes,"['feminine', 'plural']"
aberrants,"['masculine', 'plural']"
aberrants,
abessif,
abessifs,"['masculine', 'plural']"
abessive,"['feminine', 'singular']"
abessive,
abessives,
abessives,"['feminine', 'plural']"
abhorrable,
abhorrables,['plural']
abhorrables,
abidjanais,"['masculine', 'plural']"
abidjanaise,
abidjanaise,"['feminine', 'singular']"
abidjanaises,
abidjanaises,"['feminine', 'plural']"
abiotique,
abiotiques,['plural']
abiotiques,
abitibien,
abitibienne,"['feminine', 'singular']"
abitibienne,
abitibiennes,
abitibiennes,"['feminine', 'plural']"
abitibiens,"['masculine', 'plural']"
abitibiens,
abiéticole,
abiéticoles,
abiéticoles,['plural']
abiétin,
abiétine,
abiétine,"['feminine', 'singular']"
abiétines,"['feminine', 'plural']"
abiétines,
abiétins,
abiétins,"['masculine', 'plural']"
abiétiné,
abiétinée,"['feminine', 'singular']"
abiétinée,
abiétinées,"['feminine', 'plural']"
abiétinées,
abiétinés,
abiétinés,"['masculine', 'plural']"
abjadique,
abjadiques,['plural']
abjadiques,
abject,
abjecte,
abjecte,"['feminine', 'singular']"
abjectes,"['feminine', 'plural']"
abjectes,
abjects,"['masculine', 'plural']"
abjects,
abjurateur,
abjurateurs,"['masculine', 'plural']"
abjurateurs,
abjuratoire,
abjuratoires,['plural']
abjuratoires,
abjuratrice,
abjuratrice,"['feminine', 'singular']"
abjuratrices,"['feminine', 'plural']"
abjuratrices,
abkhaze,
abkhazes,
abkhazes,['plural']
abkhazien,
abkhazienne,"['feminine', 'singular']"
abkhazienne,
abkhaziennes,"['feminine', 'plural']"
abkhaziennes,
abkhaziens,"['masculine', 'plural']"
abkhaziens,
ablatable,
ablatables,['plural']
ablatables,
ablatif,
ablatifs,"['masculine', 'plural']"
ablatifs,
ablative,"['feminine', 'singular']"
ablative,
ablatives,
ablatives,"['feminine', 'plural']"
abnégué,
abnéguée,"['feminine', 'singular']"
abnéguées,"['feminine', 'plural']"
abnégués,"['masculine', 'plural']"
abolissable,
abolissables,['plural']
abolissables,
abolitif,
abolitifs,
abolitifs,"['masculine', 'plural']"
abolitioniste,
abolitionistes,['plural']
abolitionniste,
abolitionnistes,
abolitionnistes,['plural']
abolitive,"['feminine', 'singular']"
abolitive,
abolitives,"['feminine', 'plural']"
abolitives,
abomiffreuse,
abomiffreuse,"['feminine', 'singular']"
abomiffreuses,
abomiffreuses,"['feminine', 'plural']"
abomiffreux,"['masculine', 'plural']"
abominable,
abominables,['plural']
abominables,
aboméen,
aboméenne,"['feminine', 'singular']"
aboméenne,
aboméennes,
aboméennes,"['feminine', 'plural']"
aboméens,
aboméens,"['masculine', 'plural']"
abondant,
abondante,"['feminine', 'singular']"
abondante,
abondantes,"['feminine', 'plural']"
abondantes,
abondantissime,
abondantissimes,['plural']
abondantissimes,
abondants,"['masculine', 'plural']"
abondants,
abonné,
abonnée,
abonnée,"['feminine', 'singular']"
abonnées,
abonnées,"['feminine', 'plural']"
abonnés,"['masculine', 'plural']"
abordable,
abordables,
abordables,['plural']
abordeur,
abordeurs,
abordeurs,"['masculine', 'plural']"
abordeuse,
abordeuse,"['feminine', 'singular']"
abordeuses,
abordeuses,"['feminine', 'plural']"
aborigène,
aborigènes,['plural']
aborigènes,
abortif,
abortifs,"['masculine', 'plural']"
abortifs,
abortive,"['feminine', 'singular']"
abortive,
abortives,"['feminine', 'plural']"
abortives,
aboudabien,
aboudabienne,"['feminine', 'singular']"
aboudabienne,
aboudabiennes,
aboudabiennes,"['feminine', 'plural']"
aboudabiens,"['masculine', 'plural']"
aboudabiens,
aboudhabien,
aboudhabienne,"['feminine', 'singular']"
aboudhabienne,
aboudhabiennes,
aboudhabiennes,"['feminine', 'plural']"
aboudhabiens,"['masculine', 'plural']"
aboudhabiens,
abougri,
abougrie,
abougrie,"['feminine', 'singular']"
abougries,"['feminine', 'plural']"
abougries,
abougris,
abougris,"['masculine', 'plural']"
aboulique,
abouliques,['plural']
abouliques,
aboyant,
aboyante,"['feminine', 'singular']"
aboyante,
aboyantes,"['feminine', 'plural']"
aboyantes,
aboyants,"['masculine', 'plural']"
aboyants,
aboyeur,
aboyeurs,"['masculine', 'plural']"
aboyeurs,
aboyeuse,
aboyeuse,"['feminine', 'singular']"
aboyeuses,"['feminine', 'plural']"
aboyeuses,
abracadabrant,
abracadabrante,
abracadabrante,"['feminine', 'singular']"
abracadabrantes,"['feminine', 'plural']"
abracadabrantes,
abracadabrantesque,
abracadabrantesques,['plural']
abracadabrantesques,
abracadabrants,
abracadabrants,"['masculine', 'plural']"
abracadabresque,
abracadabresques,
abracadabresques,['plural']
abrachiocéphale,
abrachiocéphales,
abrachiocéphales,['plural']
abrahamique,
abrahamiques,['plural']
abrahamiques,
abrahamiste,
abrahamistes,['plural']
abrahamistes,
abrasif,
abrasifs,"['masculine', 'plural']"
abrasive,
abrasive,"['feminine', 'singular']"
abrasives,
abrasives,"['feminine', 'plural']"
abricot,
abricoté,
abricotée,
abricotée,"['feminine', 'singular']"
abricotées,
abricotées,"['feminine', 'plural']"
abricotés,"['masculine', 'plural']"
abricotés,
abrogateur,
abrogateurs,
abrogateurs,"['masculine', 'plural']"
abrogatif,
abrogatifs,"['masculine', 'plural']"
abrogatifs,
abrogative,"['feminine', 'singular']"
abrogative,
abrogatives,
abrogatives,"['feminine', 'plural']"
abrogatoire,
abrogatoires,
abrogatoires,['plural']
abrogatrice,
abrogatrice,"['feminine', 'singular']"
abrogatrices,"['feminine', 'plural']"
abrogatrices,
abrogeable,
abrogeables,
abrogeables,['plural']
abrupt,
abrupte,
abrupte,"['feminine', 'singular']"
abruptes,"['feminine', 'plural']"
abruptes,
abrupts,
abrupts,"['masculine', 'plural']"
abrute,
abrutes,
abrutes,['plural']
abruti,
abrutie,
abrutie,"['feminine', 'singular']"
abruties,
abruties,"['feminine', 'plural']"
abrutis,"['masculine', 'plural']"
abrutissant,
abrutissante,"['feminine', 'singular']"
abrutissante,
abrutissantes,
abrutissantes,"['feminine', 'plural']"
abrutissants,"['masculine', 'plural']"
abrutissants,
abrutissime,
abrutissimes,
abrutissimes,['plural']
abruzzais,"['masculine', 'plural']"
abruzzaise,
abruzzaise,"['feminine', 'singular']"
abruzzaises,"['feminine', 'plural']"
abruzzaises,
abréactif,
abréactifs,"['masculine', 'plural']"
abréactifs,
abréactive,
abréactive,"['feminine', 'singular']"
abréactives,
abréactives,"['feminine', 'plural']"
abréviatif,
abréviatifs,"['masculine', 'plural']"
abréviatifs,
abréviative,"['feminine', 'singular']"
abréviative,
abréviatives,
abréviatives,"['feminine', 'plural']"
absalonien,
absalonienne,
absalonienne,"['feminine', 'singular']"
absaloniennes,
absaloniennes,"['feminine', 'plural']"
absaloniens,
absaloniens,"['masculine', 'plural']"
abscons,"['masculine', 'plural']"
absconse,"['feminine', 'singular']"
absconse,
absconses,
absconses,"['feminine', 'plural']"
absent,
absente,"['feminine', 'singular']"
absente,
absentes,"['feminine', 'plural']"
absentes,
absents,"['masculine', 'plural']"
absents,
absentéiste,
absentéistes,
absentéistes,['plural']
absidal,
absidale,
absidale,"['feminine', 'singular']"
absidales,
absidales,"['feminine', 'plural']"
absidaux,"['masculine', 'plural']"
absidaux,
absidial,
absidiale,"['feminine', 'singular']"
absidiale,
absidiales,
absidiales,"['feminine', 'plural']"
absidiaux,
absidiaux,"['masculine', 'plural']"
absinthique,
absinthiques,
absinthiques,['plural']
absinthé,
absinthée,"['feminine', 'singular']"
absinthée,
absinthées,"['feminine', 'plural']"
absinthées,
absinthés,"['masculine', 'plural']"
absinthés,
absolu,
absolue,"['feminine', 'singular']"
absolue,
absolues,"['feminine', 'plural']"
absolues,
absolus,
absolus,"['masculine', 'plural']"
absoluteur,
absoluteurs,
absoluteurs,"['masculine', 'plural']"
absolutiste,
absolutistes,
absolutistes,['plural']
absolutoire,
absolutoires,
absolutoires,['plural']
absolutrice,
absolutrice,"['feminine', 'singular']"
absolutrices,
absolutrices,"['feminine', 'plural']"
absorbable,
absorbables,
absorbables,['plural']
absorbant,
absorbante,
absorbante,"['feminine', 'singular']"
absorbantes,
absorbantes,"['feminine', 'plural']"
absorbants,"['masculine', 'plural']"
absous,"['masculine', 'plural']"
absoute,"['feminine', 'singular']"
absoutes,"['feminine', 'plural']"
abstersif,
abstersifs,"['masculine', 'plural']"
abstersive,"['feminine', 'singular']"
abstersive,
abstersives,
