,form,tags
0,pi,
1,or,
2,non,
3,car,
4,et,
5,ni,
6,pis,
7,si,
8,&,
9,ou,
10,c.,
11,parce que,
12,qui,
13,que,
14,soit,
15,soit ... soit,['canonical']
16,aussi,
17,comme,
18,mais,
19,qué,
20,quand,
21,puis,
22,puisque,
23,afin de,
24,afin que,
25,afin,
26,cependant,
27,lorsque,
28,sinon,
29,s',
30,quoique,
31,tandis que,
32,bien que,
33,à la différence de,
34,même si,
35,pourvu que,
36,qu',
37,s’,['canonical']
38,ainsi que,
39,fak,
40,dès que,
41,aussitôt que,
42,d'où,
43,à moins que,
44,partant,
45,dans la mesure où,
46,malgré que,
47,et/ou,
48,alors que,
49,à mesure que,
50,pour que,
51,pendant que,
52,au moment où,
53,à condition que,
54,sitôt que,
55,comme si,
56,au fur et à mesure,
57,lorsqu',
58,quoiqu',
59,puisqu',
60,une fois,
61,si et seulement si,
62,du coup,
63,à l'égal de,
64,jusqu'à ce que,
65,encore que,
66,histoire de,
67,pourquoy,
68,en attendant que,
69,d'autant que,
70,d'autant moins que,
71,d'autant plus que,
72,pour ne pas dire,
73,en cas que,
74,au cas où,
75,parceque,
76,pourquoi que,
77,maintenant que,
78,pource,
79,pourque,
80,faque,
81,fait que,
82,histoire que,
83,au même titre que,
84,par suite de,
85,de même que,
86,en conséquence de,
87,étant donné que,
88,de peur que,
89,des fois que,
90,vu que,
91,depuis que,
92,pour peu que,
93,ssi,
94,si ce n'est,
95,à cause que,
96,dire que,
97,en vue de,
98,si jamais,
99,ou bien,
100,si bien que,
101,à tel point que,
102,tant et si bien que,
103,tant que,
104,du moment que,
105,à moins de,
106,sous prétexte que,
107,au motif que,
108,quand bien même,
109,surtout que,
110,pour autant que,
111,de leur côté,
112,tout comme,
113,selon que,
114,outre que,
115,si tant est que,
116,autant que,
117,avant que,
118,attendu que,
119,sous réserve de,
120,à supposer que,
121,sous réserve que,
122,de sorte que,
123,de manière que,
124,après que,
125,lors même que,
