form,tags
06,['plural']
100 mètres,
1000e,['plural']
100e,['plural']
1ère,
1ères,['plural']
2-méthylbutane,
2-méthylbutanes,['plural']
2-méthylpropane,
2-méthylpropanes,['plural']
200 mètres,
24 x 36,['plural']
2CV,
2CVs,['plural']
4 nages,
400 mètres,
404,['plural']
4x4,['plural']
5 à,"['canonical', 'masculine']"
5 à 7,
5-à-7,
51e État,
51ᵉ État,"['canonical', 'masculine']"
5@7,
5à7,
69,
800 mètres,
A. M.,
AAAAA,
ABS,
AC45,['plural']
AC72,['plural']
AC90,
ACC,
ACL,['plural']
ADN,['plural']
AFM,
AFMs,['plural']
AIE,['plural']
AIIP,['plural']
AIP,['plural']
AIÉ,['plural']
AJ,
AMC,['plural']
AMD,
AML,['plural']
AMR,
ANP,['plural']
AOC,['plural']
AOCs,
API,['plural']
APN,['plural']
ARN,['plural']
ASBL,
ASBLs,['plural']
AVC,['plural']
AZERTY,['plural']
Aalandais,['masculine']
Aalandais,['plural']
Aalandaise,['feminine']
Aalandaises,['plural']
Abbevillois,['plural']
Abbevilloise,['feminine']
Abbevilloises,['plural']
Aberdonien,
Aberdonienne,['feminine']
Aberdoniennes,['plural']
Aberdoniens,['plural']
Abidjanais,['plural']
Abidjanaise,['feminine']
Abidjanaises,['plural']
Abitibien,
Abitibienne,['feminine']
Abitibiennes,['plural']
Abitibiens,['plural']
Abkhaze,
Abkhazes,['plural']
Abkhazien,
Abkhazienne,['feminine']
Abkhaziennes,['plural']
Abkhaziens,['plural']
Aboméen,
Aboméenne,['feminine']
Aboméennes,['plural']
Aboméens,['plural']
Aborigène,
Aborigènes,['plural']
Abruzzais,['plural']
Abruzzaise,['feminine']
Abruzzaises,['plural']
Abénaquis,['plural']
Abénaquise,['feminine']
Abénaquises,['plural']
Acadien,
Acadienne,['feminine']
Acadiennes,['plural']
Acadiens,['plural']
Afghan,
Afghane,['feminine']
Afghanes,['plural']
Afghans,['plural']
Africain,
Africaine,['feminine']
Africaines,['plural']
Africains,['plural']
Aixois,['plural']
Aixoise,['feminine']
Aixoises,['plural']
Ajaccien,
Ajaccienne,['feminine']
Ajacciennes,['plural']
Ajacciens,['plural']
Ajacéen,
Ajacéenne,['feminine']
Ajacéennes,['plural']
Ajacéens,['plural']
Akkadien,
Akkadienne,['feminine']
Akkadiennes,['plural']
Akkadiens,['plural']
Alaskien,
Alaskienne,['feminine']
Alaskiennes,['plural']
Alaskiens,['plural']
Albanais,['plural']
Albanaise,['feminine']
Albanaises,['plural']
Albanien,
Albanienne,['feminine']
Albaniens,['plural']
Albertain,
Albertaine,['feminine']
Albertaines,['plural']
Albertains,['plural']
Alexandrin,
Alexandrine,['feminine']
Alexandrines,['plural']
Alexandrins,['plural']
Algérien,
Algérienne,['feminine']
Algériennes,['plural']
Algériens,['plural']
Allemand,
Allemande,['feminine']
Allemandes,['plural']
Allemands,['plural']
Almoravide,
Almoravides,['plural']
Alpicois,['plural']
Alpicoise,['feminine']
Alpicoises,['plural']
Alsacien,
Alsacienne,['feminine']
Alsaciennes,['plural']
Alsaciens,['plural']
Alépin,
Alépine,['feminine']
